Latitude,Longitude,Altitude,Mac
32.10231423,35.2093022,690,a0:ab:1b:60:b4:ca
32.10263208,35.20899162,687.5512237,1c:b9:c4:14:2f:68
32.10380445,35.21025489,710.9347989,24:79:2a:ac:5c:17
32.10319576,35.20988177,701.710776,1c:b9:c4:12:af:78
32.10233468,35.20920844,688.9109817,62:ab:1b:60:b4:cb
32.10291688,35.20993975,698.9250664,00:1d:aa:81:d8:3c
32.10238085,35.21000654,712.1937427,1c:b9:c4:95:1e:67
32.10296378,35.20968967,704.7471857,1c:b9:c4:92:af:77
32.10258765,35.20911465,688.1025051,1c:b9:c4:16:28:f8
32.10339963,35.2088745,685.7007149,1c:b9:c4:16:28:e8
32.10485702,35.21080784,690.023391,1c:b9:c4:15:42:68
32.10254585,35.20941178,690.7003682,1c:b9:c4:16:11:a8
32.10458831,35.21104487,692.7964602,1c:b9:c4:15:44:88
32.10479078,35.21015409,688.5715257,a2:6c:ac:a0:7b:4d
32.1038101,35.21028362,710.9061261,1c:b9:c4:96:1d:77
32.10332787,35.20965551,704.8397895,1c:b9:c4:14:2b:8c
32.10282362,35.20871899,688,ec:8c:a2:08:78:cc
32.10366281,35.20997695,711.1571521,8c:0c:90:2e:e8:18
32.10220501,35.20936592,689.6115765,1c:b9:c4:14:2b:d8
32.1031268,35.20918233,695.5706069,1c:b9:c4:96:d2:87
32.10375433,35.21024297,710.8162815,24:79:2a:2b:bd:8c
32.10279663,35.20884709,687.5,34:8f:27:20:8c:18
32.10296049,35.20969913,702.14288,1c:b9:c4:94:30:37
32.1026245,35.20987441,707.9141706,02:21:5c:af:69:82
32.10247524,35.20892269,686.5066387,1c:b9:c4:16:f1:98
32.10464283,35.20987862,687.7614554,74:ea:3a:ad:d1:50
32.10371198,35.21003936,711.0753764,1c:b9:c4:15:1c:bc
32.10268971,35.2098678,711.8977403,30:e1:71:0f:a2:49
32.10259991,35.2090994,688.8197665,1c:b9:c4:14:33:c8
32.10310981,35.20987956,701.8179815,1c:b9:c4:14:30:38
32.1023794,35.20919203,689.3832805,ec:8c:a2:26:b1:78
32.10282362,35.20871899,688,1c:b9:c4:16:f4:7c
32.10374932,35.21009737,711.0424025,1c:b9:c4:16:28:ec
32.10475928,35.21038663,690.8784428,1c:b9:c4:16:05:78
32.10422292,35.2093103,686.4634635,1c:b9:c4:15:23:58
32.103668,35.21017235,699.8775257,d8:5d:4c:9e:69:22
32.1037249,35.21020742,710.7830608,60:e3:27:7b:e0:98
32.1037249,35.21020742,710.7830608,24:79:2a:ab:bd:87
32.10244119,35.20884914,686,1c:b9:c4:14:33:cc
32.1024612,35.20997699,711.9289257,1c:b9:c4:15:3d:6c
32.10298812,35.20966518,702.040903,e4:95:6e:40:87:1a
32.10419361,35.20917533,685,00:02:6f:8e:64:67
32.10410349,35.21009591,698.2061989,24:79:2a:2c:5b:d8
32.10282362,35.20871899,688,8c:0c:90:ad:75:e3
32.10323198,35.20881018,686,1c:b9:c4:16:d2:88
32.10367975,35.20894816,684.4882369,ec:8c:a2:26:b0:e8
32.10473751,35.21005263,687.4086695,90:6c:ac:a0:7b:4d
32.10199722,35.2098381,693,00:11:6b:11:02:b7
